Dystans do przejscia: 100, dlugosc kroku: 20
0: (x, y) = (16.1803, -11.7557)
1: (x, y) = (30.3225, -25.8978)
2: (x, y) = (18.8509, -42.2809)
3: (x, y) = (4.22387, -55.9208)
4: (x, y) = (6.66126, -36.0699)
5: (x, y) = (-1.47347, -17.799)
6: (x, y) = (16.9366, -25.6136)
7: (x, y) = (25.704, -43.5895)
8: (x, y) = (6.38553, -48.7659)
9: (x, y) = (25.1794, -41.9255)
10: (x, y) = (5.20679, -42.9722)
11: (x, y) = (-13.4648, -50.1396)
12: (x, y) = (-17.281, -69.7721)
13: (x, y) = (-36.9772, -66.2992)
14: (x, y) = (-56.2024, -60.7864)
15: (x, y) = (-44.7309, -44.4034)
16: (x, y) = (-26.3208, -36.5887)
17: (x, y) = (-7.09553, -31.076)
18: (x, y) = (-23.0682, -43.1123)
19: (x, y) = (-32.148, -25.2922)
20: (x, y) = (-13.6044, -32.7843)
21: (x, y) = (6.1494, -35.913)
22: (x, y) = (20.5362, -22.0198)
23: (x, y) = (36.7165, -10.2641)
24: (x, y) = (22.8234, -24.6509)
25: (x, y) = (7.72917, -37.7721)
26: (x, y) = (-9.59133, -47.7721)
27: (x, y) = (-26.1721, -58.956)
28: (x, y) = (-6.53954, -55.1398)
29: (x, y) = (6.04687, -39.5969)
30: (x, y) = (-7.5931, -54.2239)
31: (x, y) = (9.36786, -43.6255)
32: (x, y) = (4.86884, -24.1381)
33: (x, y) = (10.7163, -43.2642)
34: (x, y) = (30.7163, -43.2642)
35: (x, y) = (26.2173, -23.7768)
36: (x, y) = (20.0369, -42.798)
37: (x, y) = (0.185991, -45.2354)
38: (x, y) = (-9.81401, -62.5559)
39: (x, y) = (-29.0392, -57.0431)
40: (x, y) = (-48.0604, -63.2235)
41: (x, y) = (-28.6545, -58.385)
42: (x, y) = (-43.9753, -45.5293)
43: (x, y) = (-25.9995, -36.7618)
44: (x, y) = (-28.4369, -56.6128)
45: (x, y) = (-20.3021, -38.3419)
46: (x, y) = (-39.9347, -42.158)
47: (x, y) = (-39.5856, -62.155)
48: (x, y) = (-21.9267, -71.5444)
49: (x, y) = (-14.112, -89.9545)
50: (x, y) = (-33.1332, -83.7742)
51: (x, y) = (-35.9166, -63.9688)
52: (x, y) = (-53.8925, -55.2014)
53: (x, y) = (-62.6599, -73.1773)
54: (x, y) = (-82.6325, -74.224)
Po 55 krokach delikwent osiagnal polozenie: 
(x, y) = (-82.6325, -74.224)
 czyli
(m, a) = (111.074, -138.068)
Srednia dlugosc kroku pozornego = 2.01952
Dystans do przejscia: 20, dlugosc kroku: 2
0: (x, y) = (0.749213, 1.85437)
1: (x, y) = (2.42655, 2.94365)
2: (x, y) = (3.45663, 1.22931)
3: (x, y) = (3.66569, -0.759733)
4: (x, y) = (5.5678, -0.141699)
5: (x, y) = (5.60271, -2.14139)
6: (x, y) = (6.35192, -0.287026)
7: (x, y) = (5.06634, 1.24506)
8: (x, y) = (3.89077, -0.372971)
9: (x, y) = (3.96057, 1.62581)
10: (x, y) = (3.75151, 3.61485)
11: (x, y) = (4.84079, 1.93751)
12: (x, y) = (6.09943, 3.4918)
13: (x, y) = (4.78732, 1.98239)
14: (x, y) = (5.96289, 3.60042)
15: (x, y) = (4.07185, 4.25156)
16: (x, y) = (5.92622, 3.50234)
17: (x, y) = (7.89583, 3.84964)
18: (x, y) = (6.25753, 2.70249)
19: (x, y) = (4.27699, 2.42414)
20: (x, y) = (3.89537, 0.460886)
21: (x, y) = (4.92545, -1.25345)
22: (x, y) = (5.34127, 0.702846)
23: (x, y) = (6.99935, -0.41554)
24: (x, y) = (5.07683, -0.966814)
25: (x, y) = (3.52253, -2.22546)
26: (x, y) = (4.00638, -4.16605)
27: (x, y) = (4.07618, -6.16483)
28: (x, y) = (4.95292, -7.96242)
29: (x, y) = (6.73493, -8.8704)
30: (x, y) = (4.95292, -9.77838)
31: (x, y) = (3.17091, -10.6864)
32: (x, y) = (1.45657, -11.7164)
33: (x, y) = (-0.465953, -11.1652)
34: (x, y) = (-0.396154, -13.1639)
35: (x, y) = (0.633922, -14.8783)
36: (x, y) = (2.14334, -13.5662)
37: (x, y) = (4.12388, -13.8445)
38: (x, y) = (3.27864, -15.6571)
39: (x, y) = (4.85466, -16.8884)
40: (x, y) = (3.5164, -15.4022)
41: (x, y) = (5.50149, -15.1584)
42: (x, y) = (4.78476, -13.2913)
43: (x, y) = (5.59823, -15.1183)
44: (x, y) = (7.53882, -14.6345)
45: (x, y) = (7.19153, -12.6649)
46: (x, y) = (5.85327, -11.1786)
47: (x, y) = (4.29897, -12.4372)
48: (x, y) = (6.08099, -11.5293)
